Name	Accession ID	Date	Location	Region	Location_with_Region
hCoV-19/Africa/SouthAfrica/Gauteng/EPI_ISL_3219801/2021-07-14	EPI_ISL_3219801	2021/07/14	SouthAfrica	Gauteng	SouthAfrica - Gauteng
hCoV-19/Africa/SouthAfrica/Gauteng/EPI_ISL_3219802/2021-07-16	EPI_ISL_3219802	2021/07/16	SouthAfrica	Gauteng	SouthAfrica - Gauteng
hCoV-19/Africa/SouthAfrica/Gauteng/EPI_ISL_3219803/2021-07-16	EPI_ISL_3219803	2021/07/16	SouthAfrica	Gauteng	SouthAfrica - Gauteng
hCoV-19/Africa/SouthAfrica/Gauteng/EPI_ISL_3219804/2021-07-16	EPI_ISL_3219804	2021/07/16	SouthAfrica	Gauteng	SouthAfrica - Gauteng
hCoV-19/Africa/SouthAfrica/Gauteng/EPI_ISL_3219809/2021-07-20	EPI_ISL_3219809	2021/07/20	SouthAfrica	Gauteng	SouthAfrica - Gauteng
hCoV-19/Africa/SouthAfrica/Gauteng/EPI_ISL_3219810/2021-07-21	EPI_ISL_3219810	2021/07/21	SouthAfrica	Gauteng	SouthAfrica - Gauteng
hCoV-19/Africa/SouthAfrica/Gauteng/EPI_ISL_3219811/2021-07-21	EPI_ISL_3219811	2021/07/21	SouthAfrica	Gauteng	SouthAfrica - Gauteng
hCoV-19/Africa/SouthAfrica/Gauteng/EPI_ISL_3219813/2021-07-22	EPI_ISL_3219813	2021/07/22	SouthAfrica	Gauteng	SouthAfrica - Gauteng
hCoV-19/Africa/SouthAfrica/Gauteng/EPI_ISL_3219814/2021-07-22	EPI_ISL_3219814	2021/07/22	SouthAfrica	Gauteng	SouthAfrica - Gauteng
hCoV-19/Africa/SouthAfrica/Gauteng/EPI_ISL_3219815/2021-07-22	EPI_ISL_3219815	2021/07/22	SouthAfrica	Gauteng	SouthAfrica - Gauteng
hCoV-19/Africa/SouthAfrica/Gauteng/EPI_ISL_3219816/2021-07-22	EPI_ISL_3219816	2021/07/22	SouthAfrica	Gauteng	SouthAfrica - Gauteng
hCoV-19/Africa/SouthAfrica/Gauteng/EPI_ISL_3219817/2021-07-14	EPI_ISL_3219817	2021/07/14	SouthAfrica	Gauteng	SouthAfrica - Gauteng
hCoV-19/Africa/SouthAfrica/Gauteng/EPI_ISL_3219818/2021-07-14	EPI_ISL_3219818	2021/07/14	SouthAfrica	Gauteng	SouthAfrica - Gauteng
hCoV-19/Africa/SouthAfrica/Gauteng/EPI_ISL_3219819/2021-07-15	EPI_ISL_3219819	2021/07/15	SouthAfrica	Gauteng	SouthAfrica - Gauteng
hCoV-19/Africa/SouthAfrica/Gauteng/EPI_ISL_3219820/2021-07-15	EPI_ISL_3219820	2021/07/15	SouthAfrica	Gauteng	SouthAfrica - Gauteng
hCoV-19/Africa/SouthAfrica/Gauteng/EPI_ISL_3219821/2021-07-16	EPI_ISL_3219821	2021/07/16	SouthAfrica	Gauteng	SouthAfrica - Gauteng
hCoV-19/Africa/SouthAfrica/Gauteng/EPI_ISL_3219824/2021-07-14	EPI_ISL_3219824	2021/07/14	SouthAfrica	Gauteng	SouthAfrica - Gauteng
hCoV-19/Africa/SouthAfrica/Gauteng/EPI_ISL_3219825/2021-07-14	EPI_ISL_3219825	2021/07/14	SouthAfrica	Gauteng	SouthAfrica - Gauteng
hCoV-19/Africa/SouthAfrica/Gauteng/EPI_ISL_3219826/2021-07-14	EPI_ISL_3219826	2021/07/14	SouthAfrica	Gauteng	SouthAfrica - Gauteng
hCoV-19/Africa/SouthAfrica/Gauteng/EPI_ISL_3219829/2021-07-16	EPI_ISL_3219829	2021/07/16	SouthAfrica	Gauteng	SouthAfrica - Gauteng
hCoV-19/Africa/SouthAfrica/Gauteng/EPI_ISL_3219830/2021-07-16	EPI_ISL_3219830	2021/07/16	SouthAfrica	Gauteng	SouthAfrica - Gauteng
hCoV-19/Africa/SouthAfrica/Gauteng/EPI_ISL_3219831/2021-07-19	EPI_ISL_3219831	2021/07/19	SouthAfrica	Gauteng	SouthAfrica - Gauteng
hCoV-19/Africa/SouthAfrica/NorthWest/EPI_ISL_3219834/2021-07-20	EPI_ISL_3219834	2021/07/20	SouthAfrica	NorthWest	SouthAfrica - NorthWest
hCoV-19/Africa/SouthAfrica/Gauteng/EPI_ISL_3219836/2021-07-22	EPI_ISL_3219836	2021/07/22	SouthAfrica	Gauteng	SouthAfrica - Gauteng
hCoV-19/Africa/SouthAfrica/Gauteng/EPI_ISL_3219837/2021-07-20	EPI_ISL_3219837	2021/07/20	SouthAfrica	Gauteng	SouthAfrica - Gauteng
hCoV-19/Africa/SouthAfrica/Gauteng/EPI_ISL_3219838/2021-07-20	EPI_ISL_3219838	2021/07/20	SouthAfrica	Gauteng	SouthAfrica - Gauteng
hCoV-19/Africa/SouthAfrica/Gauteng/EPI_ISL_3219840/2021-07-15	EPI_ISL_3219840	2021/07/15	SouthAfrica	Gauteng	SouthAfrica - Gauteng
hCoV-19/Africa/SouthAfrica/Gauteng/EPI_ISL_3219842/2021-07-15	EPI_ISL_3219842	2021/07/15	SouthAfrica	Gauteng	SouthAfrica - Gauteng
hCoV-19/Africa/SouthAfrica/Gauteng/EPI_ISL_3219844/2021-07-15	EPI_ISL_3219844	2021/07/15	SouthAfrica	Gauteng	SouthAfrica - Gauteng
hCoV-19/Africa/SouthAfrica/Gauteng/EPI_ISL_3219846/2021-07-16	EPI_ISL_3219846	2021/07/16	SouthAfrica	Gauteng	SouthAfrica - Gauteng
hCoV-19/Africa/SouthAfrica/Gauteng/EPI_ISL_3219847/2021-07-16	EPI_ISL_3219847	2021/07/16	SouthAfrica	Gauteng	SouthAfrica - Gauteng
