,EventTime,Origin,Destination
1081,2021.54794,SouthAfrica - Gauteng,SouthAfrica - EasternCape
1082,2021.6082099999999,SouthAfrica - Gauteng,Eswatini
1083,2021.65479,SouthAfrica - Gauteng,SouthAfrica - EasternCape
1084,2021.72602,SouthAfrica - Gauteng,SouthAfrica - FreeState
1085,2021.61369,SouthAfrica - Gauteng,SouthAfrica - Limpopo
1086,2021.64575,SouthAfrica - Gauteng,SouthAfrica - NorthWest
1087,2021.54246,SouthAfrica - Gauteng,SouthAfrica - WesternCape
1088,2021.60548,SouthAfrica - Gauteng,SouthAfrica - EasternCape
1089,2021.86027,SouthAfrica - EasternCape,SouthAfrica - NorthernCape
1090,2021.69041,SouthAfrica - Gauteng,SouthAfrica - FreeState
1091,2021.6273899999999,SouthAfrica - Gauteng,SouthAfrica - EasternCape
1092,2021.55615,SouthAfrica - Gauteng,SouthAfrica - Limpopo
1093,2021.56845,SouthAfrica - Gauteng,SouthAfrica - EasternCape
1094,2021.65478,SouthAfrica - Gauteng,SouthAfrica - EasternCape
1095,2021.58081,SouthAfrica - Gauteng,SouthAfrica - EasternCape
1096,2021.58629,SouthAfrica - Gauteng,SouthAfrica - KwaZulu-Natal
